FIELD,MASKNAME,ID,SLITOBJNAME,APERTURE_NO,Z_MOSFIRE,HA6565_FLUX,HB4863_FLUX,OIII5008_FLUX,NII6585_FLUX,log_NII_HA,log_OIII_HB,BPT_Class,O3N2,Metallicity_PP04_O3N2,Metallicity_err,HaHb,EBV_gas,A_V,A_V_clipped,HA_flux_corr,L_Ha,SFR,logSFR
AEGIS  ,ae2_03  ,12870,12870,1,2.130651,4.4769481e-17,1.3049149e-17,4.6416571e-17,7.4469564e-18,-0.7790032485897023,0.551090863934785,Star-forming,1.3300941125244874,8.304369883992164,0.03945368796978859,3.4308352981485615,0.1688757190988943,0.5235147292065723,0.5235147292065723,6.635662476442102e-17,2.349231979821723e+42,18.55893264059161,1.2685529955018742
AEGIS  ,ae2_03  ,12793,12793,1,-1.0,2.1963831e-18,2.147565e-18,1.3214069e-18,1.1743911e-18,-0.27189534205589533,-0.21090974718567437,Composite,0.060985594870220955,8.71048460964153,0.3593489472889016,1.0227318381515809,-0.9542826007830911,-2.958276062427583,0.0,2.1963831e-18,0.0,0.0,
AEGIS  ,ae2_03  ,12528,12528,1,1.4176809,7.2256507e-17,1.3647127e-17,7.1781292e-17,5.6781159e-18,-1.1046727102511016,0.7209700378778736,Star-forming,1.8256427481289752,8.145794320598728,0.0910987346957602,5.294631390181978,0.5715164465459784,1.7717009842925333,1.7717009842925333,2.7368538546559385e-16,3.570457382104016e+42,28.206613318621727,1.4503509448817309
AEGIS  ,ae2_03  ,12046,12046,1,2.2253952,1.0510277e-16,2.6709971e-17,8.4529722e-17,1.3667401e-17,-0.8859282253211489,0.5003360241851398,Star-forming,1.3862642495062887,8.286395440157989,0.051116320858735353,3.934963838036365,0.29609981294266025,0.9179094201222467,0.9179094201222467,2.095401125159452e-16,8.246678404328552e+42,65.14875939419555,1.8139061500043205
AEGIS  ,ae2_03  ,11578,11578,1,2.132772,9.0781664e-17,2.4719613e-17,8.2880773e-17,1.0187967e-17,-0.9499106094002181,0.525412125597011,Star-forming,1.475322734997229,8.257896724800887,0.04182961217040395,3.672454904532688,0.2320308514941315,0.7192956396318076,0.7192956396318076,1.558882424572012e-16,5.532317766274803e+42,43.705310353570944,1.64053420852964
AEGIS  ,ae2_03  ,11299,11299,1,2.2945035,1.0984919e-17,2.0519873e-18,1.0237501e-17,3.6368441e-18,-0.48007217426789467,0.6980192886438907,AGN,1.1780914629117853,8.35301073186823,0.1216793814394725,5.353307498540562,0.5817439256745404,1.8034061695910752,1.8034061695910752,4.2610998555684734e-17,1.806345751329764e+42,14.270131435505133,1.1544279732163798
AEGIS  ,ae2_03  ,10503,10503,1,2.2140515,2.1439207e-17,2.464321e-18,2.6639729e-17,4.877914e-18,-0.6429745782776525,1.0338325245962183,AGN,1.676807102873871,8.193421727080361,0.18858538149108067,8.699843486299066,1.0323619795439685,3.200322136586302,3.200322136586302,2.3766161325206366e-16,9.237939389432522e+42,72.97972117651692,1.8632021997832
AEGIS  ,ae2_03  ,10002,10002,1,1.6133572,5.7184353e-17,1.4192908e-17,4.2212747e-17,7.502808e-18,-0.8820533789265449,0.47337222721143046,Star-forming,1.3554256061379752,8.296263806035848,0.08880486927432484,4.029079382463411,0.3180337414095316,0.985904598369548,0.985904598369548,1.199851111190772e-16,2.1513128415178208e+42,16.995371447990784,1.2303306608902365
AEGIS  ,ae2_03  ,9501,9501,1,2.158312,8.4679064e-17,3.1561711e-17,1.6321167e-16,1.014026e-17,-0.9217269582895238,0.7135906697313734,Composite,1.6353176280208972,8.206698359033313,0.026040662822994724,2.682968106513617,-0.05929598943162366,-0.18381756723803336,0.0,8.4679064e-17,3.0935333535886613e+42,24.438913493350423,1.3880818941101492
AEGIS  ,ae2_03  ,7761,7761,1,2.4631245,3.2405293e-17,1.3840875e-17,1.8890812e-17,1.3409207e-17,-0.38321285748221134,0.13508707952130888,Composite,0.5182999370035202,8.564144020158874,0.06539917347703418,2.3412748832714696,-0.1857128782093918,-0.5757099224491146,0.0,3.2405293e-17,1.6314179899588602e+42,12.888202120674995,1.1101923383364811
AEGIS  ,ae2_03  ,8430,8430,1,2.134062,4.1258127e-17,2.5202469e-17,3.9801988e-17,4.1740624e-18,-0.9949505711192786,0.1984616752160872,Star-forming,1.1934122463353658,8.348108081172683,0.1103969788088595,1.6370668683294483,-0.5177342179010895,-1.6049760754933775,0.0,4.1258127e-17,1.46636707017808e+42,11.584299854406831,1.0638697905164727
AEGIS  ,ae2_03  ,6136,6136,1,1.3544408,1.3999321e-17,4.326302e-17,6.2920857e-18,1.1387304e-17,-0.08968605698203519,-0.8373222031312791,Composite,-0.747636146149244,8.969243566767759,0.2672909304101669,0.32358630997096366,-2.022170712780716,-6.268729209620219,0.0,1.3999321e-17,1.6321607179052931e+41,1.2894069671451815,0.11039001253596194
AEGIS  ,ae2_03  ,6084,6084,1,2.3007998,8.1845631e-17,1.6272803e-17,2.6128166e-17,2.5762341e-17,-0.5020101768844778,0.20564655973985585,Composite,0.7076567366243336,8.503549844280213,0.03367604976316884,5.029596376235858,0.5238613275837852,1.6239701155097344,1.6239701155097344,2.774234478031186e-16,1.1838912708480907e+43,93.52741039699916,1.9709389096916958
AEGIS  ,ae2_03  ,5889,5889,1,2.2276633,5.8521816e-17,1.4179886e-17,6.0900908e-17,7.3481002e-18,-0.9011427245342766,0.6329510284539408,Star-forming,1.5340937529882175,8.23908999904377,0.06491937961673956,4.127100598693106,0.34033979032096595,1.0550533499949946,1.0550533499949946,1.293426224541273e-16,5.103039930384035e+42,40.31401545003387,1.6054560579134036
